token	lemma	pos
eere	eer	n(sing)

den	de	art(def)	
dorper	dorpere	n(sing)	
ende	en	conj(coord)	
wijsdem	wijzen+hij	v(fin,past,lex)+pron(pers,3,sing)	
den	de	art(def)	
dan	dan	n(sing)

ende	en	conj(coord)	
daer	daar	adv(dem)	
trouwe	trouw	n(sing)	
ende	en	conj(coord)	
doghet	deugd	n(sing)	
was	zijn	v(fin,past,aux_cop)	
an	aan	adp()

dien	die	pron(dem)	
hiet	heten	v(fin,past,lex)	
soe	zij	adv(resum)	
sijn	zijn	pron(poss)	
heere	heer	n(sing)

nu	nu	adv(dem)	
maken	maken	v(fin,pres,lex)	
die	de	art(def)	
heeren	heer	n(plu)	
een	een	art(indef)	
ghespan	gespan	n(sing)

ende	en	conj(coord)	
gheuen	geven	v(fin,pres,lex)	
der	de	art(def)	
eeren	eer	n(sing)	
eenen	een	art(indef)	
ban	ban	n(sing)

ende	en	conj(coord)	
willen	willen	v(fin,pres,lex)	
niet	niet	adv(neg)	
dat	dat	conj(subord)	
soe	zij	pron(pers,3,sing)	
keere	keren	v(fin,pres,lex)

sech	zeggen	v(imp)	
mi	ik	pron(pers,1,sing)	
wanen	wanen	adv(inter)	
tfenijn	het+venijn	art(def)+n(sing)	
ran	rinnen	v(fin,past,lex)

toech	togen	v(imp)	
mi	ik	pron(pers,1,sing)	
redene	reden	n(sing)	
daer+van	daarvan	pronadv(dem)

want	want	conj(subord)	
ic	ik	pron(pers,1,sing)	
gherne	gaarne	adv(gener)	
leere	leren	v(fin,pres,lex)

wies	wie	pron(inter)	
scult	schuld	n(sing)	
dat	dat	conj(subord)	
het	het	pron(pers,3,sing)	
were	zijn	v(fin,past,aux_cop)

martin	martijn	n(prop)	
mi	ik	pron(pers,1,sing)	
dinct	dunken	v(fin,pres,aux_cop)	
ouer+waer	overwaar	adv(gener)

sint	sinds	adv(gener)	
edelheit	edelheid	n(sing)	
hadde	hebben	v(fin,past,aux_cop)	
vaer	vaar	n(sing)

te	te	adp()	
pijnne	pijnen	v(infin)	
omme	om	adp()	
die	de	art(def)	
eere	eer	n(sing)

ende	en	conj(coord)	
soe	zij	pron(pers,3,sing)	
trac	trekken	v(fin,past,lex)	
den	de	art(def)	
scalcken	schalk	n(plu)	
naer	naar	adp()

die	die	pron(rel)	
raden	raden	v(fin,pres,lex)	
nv	nu	adv(dem)	
hier	hier	adv(dem)	
nv	nu	adv(dem)	
daer	daar	pronadv(dem)

ende	en	conj(coord)	
niet	niet	adv(neg)	
scelden	schelden	v(infin)	
den	de	art(def)	
heere	heer	n(sing)

so	zo	adv(resum)	
es	zijn	v(fin,pres,aux_cop)	
edelheit	edelheid	n(sing)	
worden	worden	v(participle,past)	
zwaer	zwaar	adj()

dat	dat	conj(subord)	
soe	zij	pron(pers,3,sing)	
te	te	adp()	
clemmene	klimmen	v(infin)	
heeft	hebben	v(fin,pres,lex)	
ommaer	onmaar	adj()

ende	en	conj(coord)	
sinct	zinken	v(fin,pres,lex)	
in	in	adp()	
lanc	lang	adj()	
so	zo	adv(dem)	
meere	meer	num(indef)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
nv	nu	adv(dem)	
alder	al+de	num(indef)+art(def)	
weerelt	wereld	n(sing)	
claer	klaar	adj()

ende	en	conj(coord)	
oghe+sien	oogzien	adj()	
ende	en	conj(coord)	
openbaer	openbaar	adj()

dus	dus	adv(dem)	
es	zijn	v(fin,pres,aux_cop)	
verbannen	verbannen	v(participle,past)	
eere	eer	n(sing)

ende	en	conj(coord)	
weder+staen	weerstaan	v(participle,past)	
ten	te+de	adp()+art(def)	
keere	keer	n(sing)

nv	nu	adv(dem)	
merct	merken	v(imp)	
bider	bij+de	adp()+art(def)	
sonnen	zon	n(sing)	
lech	licht	n(sing)

die	die	pron(rel)	
alder	al+de	num(indef)+art(def)	
weerelt	wereld	n(sing)	
oghen	oog	n(plu)	
berecht	berechten	v(fin,pres,lex)

bi	bij	adp()	
sire	zijn	pron(poss)	
naturen	natuur	n(sing)

alse	als	conj(subord)	
dat	dat	art(def)	
zwerc	zwerk	n(sing)	
daer	daar	pronadv(dem)	
ieghen	jegen	pronadv(prep)	
vecht	vechten	v(fin,pres,lex)

entie	en+de	conj(coord)+art(def)	
neuel	nevel	n(sing)	
met	met	adp()	
zire	zijn	pron(poss)	
drecht	dracht	n(sing)

sone	zo+ne	adv(resum)+adv(neg)	
can	kunnen	v(fin,pres,aux_cop)	
so	zij	pron(pers,3,sing)	
tier	te+die	adp()+pron(dem)	
vren	uur	n(plu)

niet	niet	adv(neg)	
ghetoghen	getogen	v(infin)	
haer	haar	pron(poss)	
scone	schoon	adj()	
lecht	licht	n(sing)

aldus	aldus	adv(dem)	
verdonckert	verdonkeren	v(fin,pres,lex)	
die	de	art(def)	
scalcke	schalk	adj()	
knecht	knecht	n(sing)

edele	edel	adj()	
creaturen	creatuur	n(plu)

alse	als	conj(subord)	
hi	hij	pron(pers,3,sing)	
hem	hij	pron(refl,3,sing)	
daer	daar	pronadv(dem)	
ane	aan	pronadv(prep)	
echt	hechten	v(fin,pres,lex)

ende	en	conj(coord)	
hare	zij	pron(pers,3,sing)	
die	de	art(def)	
edelheit	edelheid	n(sing)	
verplecht	verplichten	v(fin,pres,lex)

dat	dat	conj(subord)	
soe	zij	pron(pers,3,sing)	
laet	laten	v(fin,pres,aux_cop)	
ghedueren	geduren	v(infin)

bi	bij	adp()	
hare	zij	pron(refl,3,sing)	
den	de	art(def)	
scalcken	schalk	adj()	
sueren	zuur	n(plu)

sint	sinds	adv(gener)	
scalcke	schalk	n(plu)	
droeghen	dragen	v(fin,past,lex)	
ouer+een	overeen	adv(gener)

dat	dat	conj(subord)	
neen	neen	interj()	
wart	worden	v(fin,past,aux_cop)	
ja	ja	interj()	
ende	en	conj(coord)	
ia	ja	interj()	
neen	neen	interj()

ende	en	conj(coord)	
hem	hij	pron(pers,3,plu)	
dat	dat	conj(subord)	
wijsheit	wijsheid	n(sing)	
dochte	dunken	v(fin,past,aux_cop)

ende	en	conj(coord)	
edelheit	edelheid	n(sing)	
daer	daar	pronadv(dem)	
omme	om	pronadv(prep)	
green	grijnen	v(fin,past,lex)

want	want	conj(subord)	
daer	daar	pronadv(dem)	
waesdom	wasdom	n(sing)	
vte	uit	pronadv(prep)	
sceen	schijnen	v(fin,past,aux_cop)

wanen	wanen	adv(inter)	
dat	dat	conj(subord)	
comen	komen	v(infin)	
mochte	mogen	v(fin,past,aux_cop)

so	zo	adv(resum)	
es	zijn	v(fin,pres,aux_cop)	
edel	edel	adj()	
herte	hart	n(sing)	
worden	worden	v(participle,past)	
steen	steen	n(sing)

want	want	conj(subord)	
haer	zij	pron(pers,3,sing)	
ontfaremt	ontfermen	v(fin,pres,lex)	
dinc	ding	n(plu)	
gheen	geen	pron(indef)

van	van	adp()	
daermen	daar+men	pronadv(rel)+pron(indef)	
ghelt	geld	n(sing)	
vte	uit	adp()	
cnochte	knopen	v(fin,past,lex)

god	god	n(sing)	
gheue	geven	v(fin,pres,lex)	
hem	hij	pron(pers,3,sing)	
den	de	art(def)	
langhen	lang	adj()	
wen	ween	n(sing)

die	die	pron(rel)	
te	te	adp()	
cnauwene	knauwen	v(infin)	
gaf	geven	v(fin,past,lex)	
dit	dit	pron(dem)	
been	been	n(sing)

den	de	art(def)	
edelen	edel	adj()	
ghedochte	gedachte	n(sing)

want	want	conj(subord)	
hire	hij+er	pron(pers,3,sing)+pronadv(pers)	
mort	moord	n(prop)	
an	aan	pronadv(pers)	
wrochte	werken	v(fin,past,lex)

vvat	wat	pron(inter)	
sal	zullen	v(fin,pres,aux_cop)	
seghel	zegel	n(sing)	
ende	en	conj(coord)	
was	was	n(sing)

ende	en	conj(coord)	
brieuen	brief	n(plu)	
die	die	pron(rel)	
ghewaghen	gewagen	v(fin,pres,lex)	
das	dat	pron(dem)

wat	wat	pron(rel)	
dese	deze	pron(dem)	
heeren	heer	n(plu)	
gheuen	geven	v(infin)

hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
al	al	adv(gener)	
niet	niet	adv(neg)	
hes	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
een	een	art(indef)	
ghedwas	gedwaas	n(sing)

alse	als	adv(dem)	
lief	lief	adj()	
hadt	hebben	v(fin,past,aux_cop)	
mi	ik	pron(pers,1,sing)	
een	een	art(indef)	
wilt	wild	adj()	
sas	Saks	n(prop)

oft	of	conj(coord)	
een	een	art(indef)	
vrese	Fries	n(prop)	
bescreuen	beschrijven	v(participle,past)

trouwe	trouw	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
broscher	broos	adj()	
dan	dan	conj(comp)	
i	een	art(indef)	
glas	glas	n(sing)

die	die	pron(rel)	
hier	hier	adv(dem)	
te	te	adp()	
voren	voren	adv(gener)	
so	zo	adv(dem)	
sterc	sterk	adj()	
was	zijn	v(fin,past,aux_cop)

so	zo	adv(resum)	
es	zijn	v(fin,pres,aux_cop)	
te+broken	tebreken	v(participle,past)	
bleuen	blijven	v(participle,past)

ic	ik	pron(pers,1,sing)	
wane	wanen	v(fin,pres,lex)	
noyt	nooit	adv(gener)	
dies	de	pron(dem)	
lands + heere	landheer	n(sing)	
genas	genezen	v(fin,past,lex)

hine	hij+ne	pron(pers,3,sing)+adv(neg)	
moeste	moeten	v(fin,past,aux_cop)	
int	in+het	adp()+art(def)	
hende	eind	n(sing)	
sneuen	sneven	v(infin)

ende	en	conj(coord)	
sulc	zulk	pron(indef)	
es	zijn	v(fin,pres,aux_cop)	
slands	het+land	art(def)+n(sing)	
verdreuen	verdrijven	v(participle,past)

martin	martijn	n(prop)	
du	du	pron(pers,2,sing)	
berechts	berechten	v(fin,pres,lex)	
mi	ik	pron(pers,1,sing)	
wel	wel	adv(gener)

hier+bi	hierbij	pronadv(dem)	
sijn	zijn	v(fin,pres,aux_cop)	
die	de	art(def)	
heeren	heer	n(plu)	
fel	fel	adj()

ende	en	conj(coord)	
wandel	wandel	adj()	
in	in	adp()	
die	de	art(def)	
tale	taal	n(sing)

in	ik+ne 	pron(pers,1,sing)+adv(neg)	
weeter	weten+er	v(infin)+pronadv(pers)	
wat	wat	pron(inter)	
toe	toe	adv(gener)	
segghen	zeggen	v(fin,pres,lex)	
el	el	adv(gener)

die	de	art(def)	
scalc	schalk	n(sing)	
hout	houden	v(fin,pres,lex)	
boesheit	boosheid	n(sing)	
ouer	over	adp()	
spel	spel	n(sing)

hij	hij	pron(pers,3,sing)	
pijnt	pijnen	v(fin,pres,lex)	
hoe	hoe	adv(inter)	
hi	hij	pron(pers,3,sing)	
die	de	art(def)	
doghet	deugd	n(sing)	
smale	smalen	v(infin)

caym	ka•n	n(prop)	
slouch	slaan	v(fin,past,lex)	
den	de	art(def)	
edelen	edel	adj()	
abel	abel	n(prop)

dus	dus	adv(dem)	
souct	zoeken	v(fin,pres,lex)	
die	de	art(def)	
scalc	schalk	n(sing)	
sijns	zijn	pron(poss)	
heeren	heer	n(plu)	
vel	vel	n(sing)

hoe	hoe	adv(inter)	
hine	hij+hij	pron(pers,3,sing)+pron(pers,3,sing)	
ghetrect	trekken	v(participle,past)	
te	te	adp()	
dale	dal	n(sing)

god	god	n(sing)	
die	die	pron(rel)	
ons	wij	pron(pers,1,plu)	
noch	nog	adv(gener)	
doemen	doemen	v(infin)	
sel	zullen	v(fin,pres,aux_cop)

biddic	bidden+ik	v(fin,pres,lex)+pron(pers,1,sing)	
dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
den	de	art(def)	
duuel	duivel	n(sing)

inden	in+de	adp()+art(def)	
joncsten	jongsten	adv(gener)	
male	maal	n(sing)

metten	met+de	adp()+art(def)	
scalken	schalk	n(prop)	
betale	betalen	v(fin,pres,lex)

martin	martijn	n(prop)	
nv	nu	adv(dem)	
berecht	berechten	v(imp)	
mi	ik	pron(pers,1,sing)	
dies	die	pron(dem)

berecht	berechten	v(fin,pres,lex)	
een	een	art(indef)	
god	god	n(sing)	
die	de	pron(rel)	
noyt	nooit	adv(neg)	
en	ne	adv(neg)	
wies	wassen	v(fin,past,lex)

alle	al	pron(indef)	
creatueren	creatuur	n(plu)

twi	twi	adv(inter)	
heuet	hebben	v(fin,pres,lex)	
die	de	art(def)	
quade	kwade	n(sing)	
dan	dan	conj(comp)	
den	de	art(def)	
kies	kies	n(sing)

entie	en+die	conj(coord)+pron(dem)	
goede	goed	n(sing)	
heeft	hebben	v(fin,pres,aux_cop)	
al	al	num(indef)	
tverlies	dat+verlies	art(def)+n(sing)

wie	wie	pron(inter)	
saelt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
ouer	over	adp()	
recht	recht	adj()	
curen	keuren	v(infin)

mijn	mijn	pron(poss)	
sin	zin	n(sing)	
seghet	zeggen	v(fin,pres,lex)	
mi	ik	pron(pers,1,sing)	
als	als	conj(comp)	
eenen	een	art(indef)	
ries	ries	n(sing)

hi	hij	pron(pers,3,sing)	
die	de	pron(rel)	
adame	adam	n(prop)	
tlijf	het+lijf	art(def)+n(sing)	
in	in	adp()	
blies	blazen	v(fin,past,lex)

die	de	art(def)	
meester	meester	n(sing)	
der	de	art(def)	
natueren	natuur	n(sing)

heuet	hebben	v(fin,pres,aux_cop)	
beuolen	bevelen	v(participle,past)	
merc	merken	v(imp)	
ende	en	conj(coord)	
besies	bezien	v(imp)

der	de	art(def)	
blender	blind	adj()	
auentueren	avontuur	n(sing)

die	die	art(def)	
verkeert	verkeren	v(fin,pres,lex)	
telker	te+elk	adp()+num(indef)	
vren	uur	n(plu)

iacop	jacob	n(prop)	
sech	zeggen	v(imp)	
bestu	zijn+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
verdort	verdoren	v(participle,past)

dauenture	de+avontuur	art(def)+n(sing)	
es	zijn	v(fin,pres,lex)	
maer	maar	conj(coord)	
een	een	art(indef)	
wort	woord	n(sing)

van	van	adp()	
gheveinsder	geveinsd	adj()	
spraken	spraak	n(sing)

brincstu	brengen+du	v(fin,pres,lex)+pron(pers,2,sing)	
ongheloue	ongeloof	n(sing)	
vort	voort	v(prtcl)

god	god	n(sing)	
siet	zien	v(fin,pres,lex)	
alle	al	pron(indef)	
dinc	ding	n(plu)	
ende	en	conj(coord)	
hort	horen	v(fin,pres,lex)

wiltu	willen+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
den	de	art(def)	
duuel	duivel	n(sing)	
maken	maken	v(infin)

wie	wie	pron(inter)	
heuet	hebben	v(fin,pres,aux_cop)	
dijn	dijn	pron(poss)	
herte	hart	n(sing)	
dus	dus	adv(dem)	
becort	bekoren	v(participle,past)

dattu	dat+du	conj(subord)+pron(pers,2,sing)	
helts	hellen	v(fin,pres,lex)	
ant	aan+het	adp()+art(def)	
legher	laag	adj()	
bort	boord	n(sing)

die	de	art(def)	
papen	paap	n(plu)	
sullent	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
smaken	smaken	v(infin)

so	zo	adv(resum)	
werdstu	worden+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
verbrant	verbranden	v(participle,past)	
ende	en	conj(coord)	
versmort	versmoren	v(participle,past)

in	ik+ne	pron(pers,1,sing)+adv(neg)	
gaue	geven	v(fin,past,lex)	
om	om	adp()	
dine	dijn	pron(poss)	
ziele	ziel	n(sing)	
niet	niet	adv(neg)	
i	een	num(card)	
ort	oord	n(sing)

men	men	pron(indef)	
mach	mogen	v(fin,pres,aux_cop)	
met	met	adp()	
dusdanen	dusdaan	pron(dem)	
saken	zaak	n(plu)

gode	god	n(sing)	
niet	niet	adv(neg)	
ghenaken	genaken	v(infin)

god	god	n(prop)	
en	ne	adv(neg)	
was	zijn	v(fin,past,aux_cop)	
noyt	nooit	adv(neg)	
moede	moede	adj()	
no	no	conj(coord)	
mat	mat	adj()

int	in+het	adp()+art(def)	
wout	woud	n(sing)	
en	ne	adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
loef	loof	n(sing)	
no	no	conj(coord)	
blat	blad	n(sing)

buten	buiten	adp()	
ziere	zijn	pron(poss)	
hoeden	hoede	n(sing)

al	al	num(indef)	
dat	dat	pron(dem)	
es	zijn	v(fin,pres,aux_cop)	
in	in	adp()	
elke	elk	num(indef)	
stat	stad	n(sing)

dat	dat	pron(rel)	
behoet	behoeden	v(fin,pres,lex)	
hi	hij	pron(pers,3,sing)	
ende	en	conj(coord)	
besat	bezetten	v(fin,past,lex)

met	met	adp()	
godliken	goddelijk	adj()	
goede	goed	n(plu)

al	al	adv(gener)	
ghehinghet	gehengen	v(fin,pres,lex)	
hi	hij	pron(pers,3,sing)	
dan	dan	conj(comp)	
dat	dat	pron(dem)

dat	dat	conj(subord)	
die	de	art(def)	
quade	kwade	n(sing)	
ghewinnet	gewinnen	v(fin,pres,lex)	
scat	schat	n(sing)

ende	en	conj(coord)	
menne	men+hij	pron(indef)+pron(pers,3,sing)	
heet	heten	v(fin,pres,aux_cop)	
den	de	art(def)	
vroeden	vroed	adj()

so	zo	adv(gener)	
hi	hij	pron(pers,3,sing)	
hoghere	hoog	adj()	
sit	zitten	v(fin,pres,lex)	
vpt	op+het	adp()+art(def)	
rat	rad	n(sing)

so	zo	adv(dem)	
hogher	hoog	adj()	
val	val	n(sing)	
so	zo	adv(dem)	
meerre	meer	adv(gener)	
plat	plat	n(sing)

inder	in+de	adp()+art(def)	
helscher	hels	adj()	
gloeden	gloed	n(sing)

onder	onder	adp()	
der	de	art(def)	
duuele	duivel	n(sing)	
roeden	roede	n(sing)

die	de	art(def)	
rechtste	recht	adj()	
wech	weg	n(sing)	
ter	te+de	adp()+art(def)	
hellen	hel	n(sing)	
waert	waart	adv(gener)

entie	en+die	conj(coord)+pron(dem)	
alre	al	adj()	
cortste	kortst	adj()	
vaert	vaart	n(sing)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
gheluc	geluk	n(sing)	
in	in	adp()	
sonden	zonde	n(plu)

als	als	conj(subord)	
men	men	pron(indef)	
gheen	geen	num(indef)	
mesdoen	misdoen	v(infin)	
ne	ne	adv(neg)	
spaert	sparen	v(fin,pres,lex)

ende	en	conj(coord)	
men	men	pron(indef)	
emmer	immer	adv(gener)	
vort	voorts	adv(gener)	
bezwaert	bezwaren	v(fin,pres,lex)

die	de	art(def)	
zielen	ziel	n(plu)	
ghebonden	binden	v(participle,past)

ende	en	conj(coord)	
dan	dan	adv(dem)	
ghesciet	geschieden	v(participle,past)	
als	als	conj(subord)	
hem	hij	pron(pers,3,sing)	
begaert	begeren	v(fin,pres,lex)

ende	en	conj(coord)	
men	men	pron(indef)	
en	ne	adv(neg)	
rouct	roeken	v(fin,pres,lex)	
wiere	wij+er	pron(pers,1,plu)+pronadv(pers)	
mesbaert	misbaren	v(fin,pres,lex)

nu	nu	adv(dem)	
noch	nog	adv(gener)	
te	te	adp()	
gheenen	geen	num(indef)	
stonden	stond	n(plu)

