line_id	token	lemma	pos	
A_M1_1_010	rechten	recht	adj()	
A_M1_1_010	slaen	slaan	v(infin)	
A_M1_1_011	beede	beide	num(indef)	
A_M1_1_011	bespotten	bespotten	v(infin)	
A_M1_1_011	ende	en	conj(coord)	
A_M1_1_011	beuaen	bevangen	v(infin)	
A_M1_1_012	alse	als	conj(subord)	
A_M1_1_012	die	de	art(def)	
A_M1_1_012	meese	mees	n(sing)	
A_M1_1_012	in	in	adp()	
A_M1_1_012	de	de	art(def)	
A_M1_1_012	cloue	kloof	n(sing)	
A_M1_1_013	rechts	rechts	adv(gener)	
A_M1_1_013	offene	of+zij	conj(subord)+pron(pers,3,plu)	
A_M1_1_013	god	god	n(sing)	
A_M1_1_013	verscroue	verschruiven	v(fin,past,lex)	
A_M1_2_014	hoe	hoe	adv(inter)	
A_M1_2_014	langhe	lang	adv(gener)	
A_M1_2_014	sal	zullen	v(fin,pres,aux_cop)	
A_M1_2_014	ghedoghen	gedogen	v(infin)	
A_M1_2_014	dit	dit	pron(dem)	
A_M1_2_015	god	god	n(sing)	
A_M1_2_015	die	die	pron(rel)	
A_M1_2_015	alle	al	pron(indef)	
A_M1_2_015	dinc	ding	n(plu)	
A_M1_2_015	besit	bezit	v(fin,pres,lex)	
A_M1_2_016	in	in	adp()	
A_M1_2_016	sine	zijn	pron(poss)	
A_M1_2_016	heerscapie	heerschappij	n(sing)	
A_M1_2_017	dat	dat	conj(subord)	
A_M1_2_017	die	de	art(def)	
A_M1_2_017	goede	goed	n(sing)	
A_M1_2_017	vleeuwet	vleeuwen	v(fin,pres,lex)	
A_M1_2_017	ende	en	conj(coord)	
A_M1_2_017	bit	bidden	v(fin,pres,lex)	
A_M1_2_018	ende	en	conj(coord)	
A_M1_2_018	hem	hij	pron(pers,3,sing)	
A_M1_2_018	ne	ne	adv(neg)	
A_M1_2_018	doech	deugen	v(fin,pres,lex)	
A_M1_2_018	no	no	conj(coord)	
A_M1_2_018	dat	dat	pron(dem)	
A_M1_2_018	no	no	conj(coord)	
A_M1_2_018	dit	dit	pron(dem)	
A_M1_2_019	dat	dat	conj(subord)	
A_M1_2_019	hi	hij	pron(pers,3,sing)	
A_M1_2_019	hiet	iet	adv(gener)	
A_M1_2_019	ghedie	gedijen	v(fin,pres,lex)	
A_M1_2_020	al	al	num(indef)	
A_M1_2_020	varet	varen	v(fin,pres,lex)	
A_M1_2_020	inden	in+de	adp()+art(def)	
A_M1_2_020	helschen	hels	adj()	
A_M1_2_020	pit	put	n(sing)	
A_M1_2_021	eist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
A_M1_2_021	blaeu	blauw	adj()	
A_M1_2_021	graeu	grauw	adj()	
A_M1_2_021	zwart	zwart	adj()	
A_M1_2_021	of	of	conj(coord)	
A_M1_2_021	wit	wit	adj()	
A_M1_2_022	hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
A_M1_2_022	ghetrouwe	getrouw	adj()	
A_M1_2_022	als	als	conj(subord)	
A_M1_2_022	eene	een	art(indef)	
A_M1_2_022	zie	zij	n(sing)	
A_M1_2_023	recht	recht	adj()	
A_M1_2_023	man	man	n(sing)	
A_M1_2_023	deluet	delven	v(fin,pres,lex)	
A_M1_2_023	sonder	zonder	adp()	
A_M1_2_023	spit	spit	n(sing)	
A_M1_2_024	hine	hij+ne	pron(pers,3,sing)+adv(neg)	
A_M1_2_024	heuet	hebben	v(fin,pres,aux_cop)	
A_M1_2_024	te	te	adp()	
A_M1_2_024	pointe	punt	n(sing)	
A_M1_2_024	niet	niet	adv(neg)	
A_M1_2_024	ghehit	hitten	v(participle,past)	
A_M1_2_025	inne	in+ne	adp()+adv(neg)	
A_M1_2_025	gheer	geen	pron(indef)	
A_M1_2_025	balgye	balie	n(sing)	
A_M1_2_026	mi	ik	pron(pers,1,sing)	
A_M1_2_026	es	zijn	v(fin,pres,aux_cop)	
A_M1_2_026	leet	leed	adj()	
A_M1_2_026	dat	dat	conj(subord)	
A_M1_2_026	ic	ik	pron(pers,1,sing)	
A_M1_2_026	waer	waar	n(sing) 	
A_M1_2_026	lye	lijden	v(fin,pres,lex)	
A_M1_3_027	laet	laat	v(imp)	
A_M1_3_027	ons	wij	pron(pers,1,plu)	
A_M1_3_027	martin	martijn	n(prop)	
A_M1_3_027	ouer+een	overeen	adv(gener)	
A_M1_3_028	hier	hier	pronadv(dem)	
A_M1_3_028	af+spreken	afspreken	v(infin)	
A_M1_3_028	onder	onder	adp()	
A_M1_3_028	ons	wij	pron(pers,1,plu)	
A_M1_3_028	tween	twee	num(card)	
A_M1_3_029	in	in	adp()	
A_M1_3_029	dit	dit	pron(dem)	
A_M1_3_029	dyaloghe	dialoog	n(sing)	
A_M1_3_030	wanen	wanen	adv(inter)	
A_M1_3_030	dat	dat	conj(subord)	
A_M1_3_030	eerst	eerst	adv(gener)	
A_M1_3_030	quam	komen	v(fin,past,lex)	
A_M1_3_030	die	de	art(def)	
A_M1_3_030	ween	ween	n(sing)	
A_M1_3_031	die	die	pron(rel)	
A_M1_3_031	wilen	wijlen	adv(gener)	
A_M1_3_031	so	zo	adv(gener)	
A_M1_3_031	onwert	onwaard	adj()	
A_M1_3_031	sceen	schijnen	v(fin,past,aux_cop)	
A_M1_3_032	ende	en	conj(coord)	
A_M1_3_032	nv	nu	adv(dem)	
A_M1_3_032	sit	zitten	v(infin)	
A_M1_3_032	so	zo	adv(dem)	
A_M1_3_032	oghe	hoog	adj()	
A_M1_3_033	ic	ik	pron(pers,1,sing)	
A_M1_3_033	vraghe	vragen	v(fin,pres,lex)	
A_M1_3_033	hu	gij	pron(pers,2,plu)	
A_M1_3_033	ende	en	conj(coord)	
A_M1_3_033	vleen	vlee‘n	v(fin,pres,lex)	
A_M1_3_034	berecht	berichten	v(imp)	
A_M1_3_034	mi	ik	pron(pers,1,sing)	
A_M1_3_034	ia	ja	adv(gener)	
A_M1_3_034	of	of	conj(coord)	
A_M1_3_034	neen	neen	adv(neg)	
A_M1_3_035	van	van	adp()	
A_M1_3_035	dat	dat	pron(rel)	
A_M1_3_035	ic	ik	pron(pers,1,sing)	
A_M1_3_035	hu	gij	pron(pers,2,plu)	
A_M1_3_035	betoghe	betogen	v(fin,pres,lex)	
A_M1_3_036	ledichede	ledigheid	n(sing)	
A_M1_3_036	es	zijn	v(fin,pres,aux_cop)	
A_M1_3_036	vrome	vroom	n(sing)	
A_M1_3_036	ne+gheen	negeen	adv(neg)	
A_M1_3_037	aerbeit	arbeid	n(sing)	
A_M1_3_037	vint	vinden	v(fin,pres,lex)	
A_M1_3_037	vier	vuur	n(sing)	
A_M1_3_037	inden	in+de	adp()+art(def)	
A_M1_3_037	steen	steen	n(sing)	
A_M1_3_038	daer+bi	daarbij	pronadv(dem)	
A_M1_3_038	ontsteect	ontsteken	v(fin,pres,lex)	
A_M1_3_038	dat	dat	art(def)	
A_M1_3_038	droghe	droge	adj()	
A_M1_3_039	nu	nu	adv(dem)	
A_M1_3_039	spreect	spreken	v(imp)	
A_M1_3_039	ende	en	conj(coord)	
A_M1_3_039	ic	ik	pron(pers,1,sing)	
A_M1_3_039	ghedoghe	gedogen	v(fin,pres,lex)	
A_M1_4_040	spreken	spreken	v(infin)	
A_M1_4_040	jacop	jacob	n(prop)	
A_M1_4_040	lieue	lief	adj()	
A_M1_4_040	compaen	kompaan	n(prop)	
A_M1_4_041	waer	waar	adv(inter)	
A_M1_4_041	soudic	zullen+ik	v(fin,past,aux_cop)+pron(pers,1,sing)	
A_M1_4_041	dat	dat	pron(dem)	
A_M1_4_041	hebben	hebben	v(infin)	
A_M1_4_041	verstaen	verstaan	v(participle,past)	
A_M1_4_042	dat	dat	pron(rel)	
A_M1_4_042	ic	ik	pron(pers,1,sing)	
A_M1_4_042	daer	daar	pronadv(dem)	
A_M1_4_042	toe	toe	pronadv(prep)	
A_M1_4_042	dochte	deugen	v(fin,past,lex)	
A_M1_4_043	te	te	adp()	
A_M1_4_043	verclaerne	verklaren	v(infin)	
A_M1_4_043	dinen	dijn	pron(poss)	
A_M1_4_043	waen	waan	n(sing)	
A_M1_4_044	die	die	pron(rel)	
A_M1_4_044	in	in	adp()	
A_M1_4_044	twifele	twijfel	n(sing)	
A_M1_4_044	ware	zijn	v(fin,past,aux_cop)	
A_M1_4_044	beuaen	bevangen	v(participle,past)	
A_M1_4_045	dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
A_M1_4_045	dat	dat	conj(subord)	
A_M1_4_045	ic	ik	pron(pers,1,sing)	
A_M1_4_045	niet	niet	adv(neg)	
A_M1_4_045	en	ne	adv(neg)	
A_M1_4_045	vermochte	vermogen	v(fin,past,lex)	
A_M1_4_046	doch	doch	adv(gener)	
A_M1_4_046	en	ne	adv(neg)	
A_M1_4_046	willic	willen+ik	v(fin,pres,aux_cop)+pron(pers,1,sing)	
A_M1_4_046	niet	niet	adv(neg)	
A_M1_4_046	af+staen	afstaan	v(infin)	
A_M1_4_047	in	in	adp()	
A_M1_4_047	wille	wil	n(sing)	
A_M1_4_047	dine	dijn	pron(poss)	
A_M1_4_047	bede	bede	n(sing)	
A_M1_4_047	ontfaen	ontvangen	v(infin)	
A_M1_4_048	die	die	pron(rel)	
A_M1_4_048	dit	dit	pron(dem)	
A_M1_4_048	ane	aan	adp()	
A_M1_4_048	mi	ik	pron(pers,1,sing)	
A_M1_4_048	besochte	bezoeken	v(fin,past,lex)	
A_M1_4_049	god	god	n(sing)	
A_M1_4_049	sende	zenden	v(fin,past,lex)	
A_M1_4_049	mi	ik	pron(pers,1,sing)	
A_M1_4_049	den	de	art(def)	
A_M1_4_049	hemelschen	hemels	adj()	
A_M1_4_049	traen	traan	n(sing)	
A_M1_4_050	ende	en	conj(coord)	
A_M1_4_050	moet	moeten	v(fin,pres,aux_cop)	
A_M1_4_050	mine	mijn	pron(poss)	
A_M1_4_050	zinne	zin	n(sing)	
A_M1_4_050	dwaen	dwaan	v(infin)	
A_M1_4_051	want	want	conj(subord)	
A_M1_4_051	hi	hij	pron(pers,3,sing)	
A_M1_4_051	mi	ik	pron(pers,1,sing)	
A_M1_4_051	diere	duur	adv(gener)	
A_M1_4_051	cochte	kopen	v(fin,past,lex)	
A_M1_4_052	ende	en	conj(coord)	
A_M1_4_052	ict	ik+het	pron(pers,1,sing)+pron(pers,3,sing)	
A_M1_4_052	gherne	gaarne	adv(gener)	
A_M1_4_052	vulbrochte	volbrengen	v(fin,past,lex)	
A_M1_5_053	martin	martijn	n(prop)	
A_M1_5_053	doe	toen	conj(subord)	
A_M1_5_053	die	de	art(def)	
A_M1_5_053	weerelt	wereld	n(sing)	
A_M1_5_053	began	beginnen	v(fin,past,lex)	
A_M1_5_054	man	man	n(sing)	
A_M1_5_054	te	te	adp()	
A_M1_5_054	verheffene	verheffen	v(infin)	
A_M1_5_054	bouen	boven	adp()	
A_M1_5_054	man	man	n(sing)	
A_M1_5_055	doe	toen	adv(dem)	
A_M1_5_055	sciet	scheiden	v(fin,past,lex)	
A_M1_5_055	mijn	mijn	pron(poss)	
A_M1_5_055	vrouwe	vrouw	n(sing)	
A_M1_5_055	ver	vrouw	n(sing)	
A_M1_5_055	eere	eer	n(sing)	
A_M1_5_056	den	de	art(def)	
A_M1_5_056	dorper	dorpere	n(sing)	
A_M1_5_056	ende	en	conj(coord)	
A_M1_5_056	wijsdem	wijzen+hij	v(fin,past,lex)+pron(pers,3,sing)	
A_M1_5_056	den	de	art(def)	
A_M1_5_056	dan	dan	n(sing)	
A_M1_5_057	ende	en	conj(coord)	
A_M1_5_057	daer	daar	adv(dem)	
A_M1_5_057	trouwe	trouw	n(sing)	
A_M1_5_057	ende	en	conj(coord)	
A_M1_5_057	doghet	deugd	n(sing)	
A_M1_5_057	was	zijn	v(fin,past,aux_cop)	
A_M1_5_057	an	aan	adp()	
A_M1_5_058	dien	die	pron(dem)	
A_M1_5_058	hiet	heten	v(fin,past,lex)	
A_M1_5_058	soe	zij	adv(resum)	
A_M1_5_058	sijn	zijn	pron(poss)	
A_M1_5_058	heere	heer	n(sing)	
A_M1_5_059	nu	nu	adv(dem)	
A_M1_5_059	maken	maken	v(fin,pres,lex)	
A_M1_5_059	die	de	art(def)	
A_M1_5_059	heeren	heer	n(plu)	
A_M1_5_059	een	een	art(indef)	
A_M1_5_059	ghespan	gespan	n(sing)	
A_M1_5_060	ende	en	conj(coord)	
A_M1_5_060	gheuen	geven	v(fin,pres,lex)	
A_M1_5_060	der	de	art(def)	
A_M1_5_060	eeren	eer	n(sing)	
A_M1_5_060	eenen	een	art(indef)	
A_M1_5_060	ban	ban	n(sing)	
A_M1_5_061	ende	en	conj(coord)	
A_M1_5_061	willen	willen	v(fin,pres,lex)	
A_M1_5_061	niet	niet	adv(neg)	
A_M1_5_061	dat	dat	conj(subord)	
A_M1_5_061	soe	zij	pron(pers,3,sing)	
A_M1_5_061	keere	keren	v(fin,pres,lex)	
A_M1_5_062	sech	zeggen	v(imp)	
A_M1_5_062	mi	ik	pron(pers,1,sing)	
A_M1_5_062	wanen	wanen	adv(inter)	
A_M1_5_062	tfenijn	het+venijn	art(def)+n(sing)	
A_M1_5_062	ran	rinnen	v(fin,past,lex)	
A_M1_5_063	toech	togen	v(imp)	
A_M1_5_063	mi	ik	pron(pers,1,sing)	
A_M1_5_063	redene	reden	n(sing)	
A_M1_5_063	daer+van	daarvan	pronadv(dem)	
A_M1_5_064	want	want	conj(subord)	
A_M1_5_064	ic	ik	pron(pers,1,sing)	
A_M1_5_064	gherne	gaarne	adv(gener)	
A_M1_5_064	leere	leren	v(fin,pres,lex)	
A_M1_5_065	wies	wie	pron(inter)	
A_M1_5_065	scult	schuld	n(sing)	
A_M1_5_065	dat	dat	conj(subord)	
A_M1_5_065	het	het	pron(pers,3,sing)	
A_M1_5_065	were	zijn	v(fin,past,aux_cop)	
A_M1_6_066	martin	martijn	n(prop)	
A_M1_6_066	mi	ik	pron(pers,1,sing)	
A_M1_6_066	dinct	dunken	v(fin,pres,aux_cop)	
A_M1_6_066	ouer+waer	overwaar	adv(gener)	
A_M1_6_067	sint	sinds	adv(gener)	
A_M1_6_067	edelheit	edelheid	n(sing)	
A_M1_6_067	hadde	hebben	v(fin,past,aux_cop)	
A_M1_6_067	vaer	vaar	n(sing)	
A_M1_6_068	te	te	adp()	
A_M1_6_068	pijnne	pijnen	v(infin)	
A_M1_6_068	omme	om	adp()	
A_M1_6_068	die	de	art(def)	
A_M1_6_068	eere	eer	n(sing)	
A_M1_6_069	ende	en	conj(coord)	
A_M1_6_069	soe	zij	pron(pers,3,sing)	
A_M1_6_069	trac	trekken	v(fin,past,lex)	
A_M1_6_069	den	de	art(def)	
A_M1_6_069	scalcken	schalk	n(plu)	
A_M1_6_069	naer	naar	adp()	
A_M1_6_070	die	die	pron(rel)	
A_M1_6_070	raden	raden	v(fin,pres,lex)	
A_M1_6_070	nv	nu	adv(dem)	
A_M1_6_070	hier	hier	adv(dem)	
A_M1_6_070	nv	nu	adv(dem)	
A_M1_6_070	daer	daar	pronadv(dem)	
A_M1_6_071	ende	en	conj(coord)	
A_M1_6_071	niet	niet	adv(neg)	
A_M1_6_071	scelden	schelden	v(infin)	
A_M1_6_071	den	de	art(def)	
A_M1_6_071	heere	heer	n(sing)	
A_M1_6_072	so	zo	adv(resum)	
A_M1_6_072	es	zijn	v(fin,pres,aux_cop)	
A_M1_6_072	edelheit	edelheid	n(sing)	
A_M1_6_072	worden	worden	v(participle,past)	
A_M1_6_072	zwaer	zwaar	adj()	
A_M1_6_073	dat	dat	conj(subord)	
A_M1_6_073	soe	zij	pron(pers,3,sing)	
A_M1_6_073	te	te	adp()	
A_M1_6_073	clemmene	klimmen	v(infin)	
A_M1_6_073	heeft	hebben	v(fin,pres,lex)	
A_M1_6_073	ommaer	onmaar	adj()	
A_M1_6_074	ende	en	conj(coord)	
A_M1_6_074	sinct	zinken	v(fin,pres,lex)	
A_M1_6_074	in	in	adp()	
A_M1_6_074	lanc	lang	adj()	
A_M1_6_074	so	zo	adv(dem)	
A_M1_6_074	meere	meer	num(indef)	
A_M1_6_075	dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
A_M1_6_075	nv	nu	adv(dem)	
A_M1_6_075	alder	al+de	num(indef)+art(def)	
A_M1_6_075	weerelt	wereld	n(sing)	
A_M1_6_075	claer	klaar	adj()	
A_M1_6_076	ende	en	conj(coord)	
A_M1_6_076	oghe+sien	oogzien	adj()	
A_M1_6_076	ende	en	conj(coord)	
A_M1_6_076	openbaer	openbaar	adj()	
A_M1_6_077	dus	dus	adv(dem)	
A_M1_6_077	es	zijn	v(fin,pres,aux_cop)	
A_M1_6_077	verbannen	verbannen	v(participle,past)	
A_M1_6_077	eere	eer	n(sing)	
A_M1_6_078	ende	en	conj(coord)	
A_M1_6_078	weder+staen	weerstaan	v(participle,past)	
A_M1_6_078	ten	te+de	adp()+art(def)	
A_M1_6_078	keere	keer	n(sing)	
A_M1_7_079	nv	nu	adv(dem)	
A_M1_7_079	merct	merken	v(imp)	
A_M1_7_079	bider	bij+de	adp()+art(def)	
A_M1_7_079	sonnen	zon	n(sing)	
A_M1_7_079	lech	licht	n(sing)	
A_M1_7_080	die	die	pron(rel)	
A_M1_7_080	alder	al+de	num(indef)+art(def)	
A_M1_7_080	weerelt	wereld	n(sing)	
A_M1_7_080	oghen	oog	n(plu)	
A_M1_7_080	berecht	berechten	v(fin,pres,lex)	
A_M1_7_081	bi	bij	adp()	
A_M1_7_081	sire	zijn	pron(poss)	
A_M1_7_081	naturen	natuur	n(sing)	
A_M1_7_082	alse	als	conj(subord)	
A_M1_7_082	dat	dat	art(def)	
A_M1_7_082	zwerc	zwerk	n(sing)	
A_M1_7_082	daer	daar	pronadv(dem)	
A_M1_7_082	ieghen	jegen	pronadv(prep)	
A_M1_7_082	vecht	vechten	v(fin,pres,lex)	
A_M1_7_083	entie	en+de	conj(coord)+art(def)	
A_M1_7_083	neuel	nevel	n(sing)	
A_M1_7_083	met	met	adp()	
A_M1_7_083	zire	zijn	pron(poss)	
A_M1_7_083	drecht	dracht	n(sing)	
A_M1_7_084	sone	zo+ne	adv(resum)+adv(neg)	
A_M1_7_084	can	kunnen	v(fin,pres,aux_cop)	
A_M1_7_084	so	zij	pron(pers,3,sing)	
A_M1_7_084	tier	te+die	adp()+pron(dem)	
A_M1_7_084	vren	uur	n(plu)	
A_M1_7_085	niet	niet	adv(neg)	
A_M1_7_085	ghetoghen	getogen	v(infin)	
A_M1_7_085	haer	haar	pron(poss)	
A_M1_7_085	scone	schoon	adj()	
A_M1_7_085	lecht	licht	n(sing)	
A_M1_7_086	aldus	aldus	adv(dem)	
A_M1_7_086	verdonckert	verdonkeren	v(fin,pres,lex)	
A_M1_7_086	die	de	art(def)	
A_M1_7_086	scalcke	schalk	adj()	
A_M1_7_086	knecht	knecht	n(sing)	
A_M1_7_087	edele	edel	adj()	
A_M1_7_087	creaturen	creatuur	n(plu)	
A_M1_7_088	alse	als	conj(subord)	
A_M1_7_088	hi	hij	pron(pers,3,sing)	
A_M1_7_088	hem	hij	pron(refl,3,sing)	
A_M1_7_088	daer	daar	pronadv(dem)	
A_M1_7_088	ane	aan	pronadv(prep)	
A_M1_7_088	echt	hechten	v(fin,pres,lex)	
A_M1_7_089	ende	en	conj(coord)	
A_M1_7_089	hare	zij	pron(pers,3,sing)	
A_M1_7_089	die	de	art(def)	
A_M1_7_089	edelheit	edelheid	n(sing)	
A_M1_7_089	verplecht	verplichten	v(fin,pres,lex)	
A_M1_7_090	dat	dat	conj(subord)	
A_M1_7_090	soe	zij	pron(pers,3,sing)	
A_M1_7_090	laet	laten	v(fin,pres,aux_cop)	
A_M1_7_090	ghedueren	geduren	v(infin)	
A_M1_7_091	bi	bij	adp()	
A_M1_7_091	hare	zij	pron(refl,3,sing)	
A_M1_7_091	den	de	art(def)	
A_M1_7_091	scalcken	schalk	adj()	
A_M1_7_091	sueren	zuur	n(plu)	
A_M1_8_092	sint	sinds	adv(gener)	
A_M1_8_092	scalcke	schalk	n(plu)	
A_M1_8_092	droeghen	dragen	v(fin,past,lex)	
A_M1_8_092	ouer+een	overeen	adv(gener)	
A_M1_8_093	dat	dat	conj(subord)	
A_M1_8_093	neen	neen	interj()	
A_M1_8_093	wart	worden	v(fin,past,aux_cop)	
A_M1_8_093	ja	ja	interj()	
A_M1_8_093	ende	en	conj(coord)	
A_M1_8_093	ia	ja	interj()	
A_M1_8_093	neen	neen	interj()	
A_M1_8_094	ende	en	conj(coord)	
A_M1_8_094	hem	hij	pron(pers,3,plu)	
A_M1_8_094	dat	dat	conj(subord)	
A_M1_8_094	wijsheit	wijsheid	n(sing)	
A_M1_8_094	dochte	dunken	v(fin,past,aux_cop)	
A_M1_8_095	ende	en	conj(coord)	
A_M1_8_095	edelheit	edelheid	n(sing)	
A_M1_8_095	daer	daar	pronadv(dem)	
A_M1_8_095	omme	om	pronadv(prep)	
A_M1_8_095	green	grijnen	v(fin,past,lex)	
A_M1_8_096	want	want	conj(subord)	
A_M1_8_096	daer	daar	pronadv(dem)	
A_M1_8_096	waesdom	wasdom	n(sing)	
A_M1_8_096	vte	uit	pronadv(prep)	
A_M1_8_096	sceen	schijnen	v(fin,past,aux_cop)	
A_M1_8_097	wanen	wanen	adv(inter)	
A_M1_8_097	dat	dat	conj(subord)	
A_M1_8_097	comen	komen	v(infin)	
A_M1_8_097	mochte	mogen	v(fin,past,aux_cop)	
A_M1_8_098	so	zo	adv(resum)	
A_M1_8_098	es	zijn	v(fin,pres,aux_cop)	
A_M1_8_098	edel	edel	adj()	
A_M1_8_098	herte	hart	n(sing)	
A_M1_8_098	worden	worden	v(participle,past)	
A_M1_8_098	steen	steen	n(sing)	
A_M1_8_099	want	want	conj(subord)	
A_M1_8_099	haer	zij	pron(pers,3,sing)	
A_M1_8_099	ontfaremt	ontfermen	v(fin,pres,lex)	
A_M1_8_099	dinc	ding	n(plu)	
A_M1_8_099	gheen	geen	pron(indef)	
A_M1_8_100	van	van	adp()	
A_M1_8_100	daermen	daar+men	pronadv(rel)+pron(indef)	
A_M1_8_100	ghelt	geld	n(sing)	
A_M1_8_100	vte	uit	adp()	
A_M1_8_100	cnochte	knopen	v(fin,past,lex)	
A_M1_8_101	god	god	n(sing)	
A_M1_8_101	gheue	geven	v(fin,pres,lex)	
A_M1_8_101	hem	hij	pron(pers,3,sing)	
A_M1_8_101	den	de	art(def)	
A_M1_8_101	langhen	lang	adj()	
A_M1_8_101	wen	ween	n(sing)	
A_M1_8_102	die	die	pron(rel)	
A_M1_8_102	te	te	adp()	
A_M1_8_102	cnauwene	knauwen	v(infin)	
A_M1_8_102	gaf	geven	v(fin,past,lex)	
A_M1_8_102	dit	dit	pron(dem)	
A_M1_8_102	been	been	n(sing)	
A_M1_8_103	den	de	art(def)	
A_M1_8_103	edelen	edel	adj()	
A_M1_8_103	ghedochte	gedachte	n(sing)	
A_M1_8_104	want	want	conj(subord)	
A_M1_8_104	hire	hij+er	pron(pers,3,sing)+pronadv(pers)	
A_M1_8_104	mort	moord	n(prop)	
A_M1_8_104	an	aan	pronadv(pers)	
A_M1_8_104	wrochte	werken	v(fin,past,lex)	
A_M1_9_105	vvat	wat	pron(inter)	
A_M1_9_105	sal	zullen	v(fin,pres,aux_cop)	
A_M1_9_105	seghel	zegel	n(sing)	
A_M1_9_105	ende	en	conj(coord)	
A_M1_9_105	was	was	n(sing)	
A_M1_9_106	ende	en	conj(coord)	
A_M1_9_106	brieuen	brief	n(plu)	
A_M1_9_106	die	die	pron(rel)	
A_M1_9_106	ghewaghen	gewagen	v(fin,pres,lex)	
A_M1_9_106	das	dat	pron(dem)	
A_M1_9_107	wat	wat	pron(rel)	
A_M1_9_107	dese	deze	pron(dem)	
A_M1_9_107	heeren	heer	n(plu)	
A_M1_9_107	gheuen	geven	v(infin)	
A_M1_9_108	hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
A_M1_9_108	al	al	adv(gener)	
A_M1_9_108	niet	niet	adv(neg)	
A_M1_9_108	hes	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
A_M1_9_108	een	een	art(indef)	
A_M1_9_108	ghedwas	gedwaas	n(sing)	
A_M1_9_109	alse	als	adv(dem)	
A_M1_9_109	lief	lief	adj()	
A_M1_9_109	hadt	hebben	v(fin,past,aux_cop)	
A_M1_9_109	mi	ik	pron(pers,1,sing)	
A_M1_9_109	een	een	art(indef)	
A_M1_9_109	wilt	wild	adj()	
A_M1_9_109	sas	Saks	n(prop)	
A_M1_9_110	oft	of	conj(coord)	
A_M1_9_110	een	een	art(indef)	
A_M1_9_110	vrese	Fries	n(prop)	
A_M1_9_110	bescreuen	beschrijven	v(participle,past)	
A_M1_9_111	trouwe	trouw	n(sing)	
A_M1_9_111	es	zijn	v(fin,pres,aux_cop)	
A_M1_9_111	broscher	broos	adj()	
A_M1_9_111	dan	dan	conj(comp)	
A_M1_9_111	i	een	art(indef)	
A_M1_9_111	glas	glas	n(sing)	
A_M1_9_112	die	die	pron(rel)	
A_M1_9_112	hier	hier	adv(dem)	
A_M1_9_112	te	te	adp()	
A_M1_9_112	voren	voren	adv(gener)	
A_M1_9_112	so	zo	adv(dem)	
A_M1_9_112	sterc	sterk	adj()	
A_M1_9_112	was	zijn	v(fin,past,aux_cop)	
A_M1_9_113	so	zo	adv(resum)	
A_M1_9_113	es	zijn	v(fin,pres,aux_cop)	
